span,washout
0.0,0.0
0.0625000000000000,0.0325623866807548
0.1250000000000000,0.4024791794277328
0.1875000000000000,0.6622470941673804
0.2500000000000000,0.9122438807013246
0.3125000000000000,0.7788625682290682
0.3750000000000000,0.5941684174903838
0.4375000000000000,0.4001688781883772
0.5000000000000000,0.2336611788750972
0.5625000000000000,0.1488751118291789
0.6250000000000000,0.2040636421738687
0.6875000000000000,0.2584018099711597
0.7500000000000000,0.8981646248953018
0.8125000000000000,0.9703545186223139
0.8750000000000000,3.4032551411060337
0.9375000000000000,5.7763403190760130
1.0000000000000000,7.2866884113441071
