span,dihedral
0.0,0.0
0.0000616837591697,-0.0000015076712174
0.0005550625190150,-0.0001220811980686
0.0015413331334360,-0.0009413649125610
0.0030195222724101,-0.0036127794743100
0.0049881711417212,-0.0098593360395089
0.0074453369226131,-0.0219651255145519
0.0103885946891171,-0.0427640258419169
0.0138150398011617,-0.0756256741340473
0.0177212907711010,-0.1244387618233419
0.0221034926008349,-0.1935917221164038
0.0269573205862274,-0.2879508898839648
0.0322779845850664,-0.4128362246410749
0.0380602337443566,-0.5739946974331340
0.0442983616822774,-0.7775714522015312
0.0509862121196922,-1.0300788615189667
0.0581171849556533,-1.3383636054217098
0.0656842427809044,-1.7095719103887084
0.0736799178229539,-2.1511130932921110
0.0820963193158649,-2.6706215623395280
0.0909251412874883,-3.2759174336157946
0.1001576707564547,-3.9749659277853886
0.1097847963308352,-4.7758357168111800
0.1197970171999845,-5.6866563951600551
0.1301844525106952,-6.7155752538825091
0.1409368511184056,-7.8707135391549352
0.1520436017038429,-9.1601223793480777
0.1634937432451133,-10.5917385664215971
0.1752759758349082,-12.1733403784367553
0.1873786718321474,-13.9125036302212468
0.1997898873370580,-15.8165581387126153
0.2124973739783608,-17.8925447882487418
0.2254885910009342,-20.1471733790728855
0.2387507176420255,-22.5867814395816850
0.2522706657837963,-25.2129146549606489
0.2660350928697133,-27.8257803017466259
0.2800304150720424,-30.3064165875565479
0.2942428206974457,-32.6438546368733782
0.3086582838174551,-34.8276724255336418
0.3232625781103715,-36.8480370932112820
0.3380412909009253,-38.6957449476211721
0.3529798373838480,-40.3622590013824762
0.3680634750173136,-41.8397438922017884
0.3832773180720472,-43.1210980473498537
0.3986063523217439,-44.1999829642687203
0.4140354498602952,-45.0708494905128916
0.4295493840312087,-45.7289609980629663
0.4451328444544774,-46.1704133592950612
0.4607704521360775,-46.3921516445039188
0.4764467746451788,-46.3919834738099794
0.4921463413440897,-46.1685889694776606
0.5078536586559104,-45.7507911064629909
0.5235532253548214,-45.3144408602098494
0.5392295478639224,-44.8892016446974722
0.5548671555455227,-44.4754311434076328
0.5704506159687913,-44.0734450393047439
0.5859645501397049,-43.6835170689758598
0.6013936476782563,-43.3058792378125545
0.6167226819279527,-42.9407221941067618
0.6319365249826865,-42.5881957593115885
0.6470201626161520,-42.2484096111084142
0.6619587090990748,-41.9214341153270169
0.6767374218896286,-41.6073013021872029
0.6913417161825448,-41.3060059817718610
0.7057571793025544,-41.0175069931033889
0.7199695849279576,-40.7417285806816949
0.7339649071302866,-40.4785618918527987
0.7477293342162038,-40.2278665879161821
0.7612492823579746,-39.9239141237951571
0.7745114089990659,-39.4519273421619801
0.7875026260216393,-38.8201479879434146
0.8002101126629420,-38.0399346358757953
0.8126213281678526,-37.1230380437409622
0.8247240241650919,-36.0815462196589465
0.8365062567548867,-34.9278283579322419
0.8479563982961571,-33.6744778729470795
0.8590631488815943,-32.3342547639969666
0.8698155474893048,-30.9200275463174989
0.8802029828000155,-29.4447149851146150
0.8902152036691648,-27.9212278699164358
0.8998423292435452,-26.3624110661854161
0.9090748587125117,-24.7809860797908641
0.9179036806841352,-23.1894943676661001
0.9263200821770462,-21.6002416247771976
0.9343157572190957,-20.0252432734128547
0.9418828150443468,-18.4761713757905000
0.9490137878803079,-16.9643031850871466
0.9557016383177226,-15.5004715432506828
0.9619397662556435,-14.0950173263814804
0.9677220154149337,-12.7577441300970804
0.9730426794137726,-11.4978753781635419
0.9778965073991651,-10.3240140278101649
0.9822787092288990,-9.2441050345958047
0.9861849601988384,-8.2654007284967861
0.9896114053108829,-7.3944292410885737
0.9925546630773869,-6.6369661113345728
0.9950118288582788,-5.9980091846392725
0.9969804777275899,-5.4817569065035627
0.9984586668665640,-5.0915900984055611
0.9994449374809851,-4.8300572894583524
0.9999383162408303,-4.6988636630474048
1.0000000000000000,-4.6824444156139862
