WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999827E+00      1.0000000000000E+00      7.0218049986933E+00      0.0000000000000E+00     -4.0267415406040E-06      9.8687926853680E-04      6.6006493849476E+00      7.2384220244140E-01      0.0000000000000E+00      0.0000000000000E+00      7.2384220244140E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760400E-03     -1.9999999929118E+00      1.0000000000000E+00      7.0185058363238E+00      0.0000000000000E+00     -3.2605877589420E-04      2.9596638749201E-03      6.5999528573841E+00      7.2376581964689E-01      0.0000000000000E+00      0.0000000000000E+00      7.2376581964689E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325315599E-03     -1.9999998857238E+00      1.0000000000000E+00      7.0119107674596E+00      0.0000000000000E+00     -2.5142306589013E-03      4.9295276503831E-03      6.5970340531049E+00      7.2344573694067E-01      0.0000000000000E+00      0.0000000000000E+00      7.2344573694067E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089039439E-02     -1.9999992275227E+00      1.0000000000000E+00      7.0020263006376E+00      0.0000000000000E+00     -9.6491390288256E-03      6.8945265772042E-03      6.5913991111627E+00      7.2282779640965E-01      0.0000000000000E+00      0.0000000000000E+00      7.2282779640965E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684022641E-02     -1.9999966836178E+00      1.0000000000000E+00      6.9888621906331E+00      0.0000000000000E+00     -2.6332662940989E-02      8.8527214386802E-03      6.5827393522438E+00      7.2187814757922E-01      0.0000000000000E+00      0.0000000000000E+00      7.2187814757922E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781343949160E-02     -1.9999892557209E+00      1.0000000000000E+00      6.9724314288333E+00      0.0000000000000E+00     -5.8665233065737E-02      1.0802179732898E-02      6.5708475597236E+00      7.2057406660372E-01      0.0000000000000E+00      0.0000000000000E+00      7.2057406660372E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554359879114E-02     -1.9999712591236E+00      1.0000000000000E+00      6.9527502304165E+00      0.0000000000000E+00     -1.1421567070870E-01      1.2740977579883E-02      6.5555856375699E+00      7.1890040955865E-01      0.0000000000000E+00      0.0000000000000E+00      7.1890040955865E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260083111014E-02     -1.9999330711420E+00      1.0000000000000E+00      6.9298380183494E+00      0.0000000000000E+00     -2.0198372169047E-01      1.4667201620233E-02      6.5368676410638E+00      7.1684775155091E-01      0.0000000000000E+00      0.0000000000000E+00      7.1684775155091E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0884904472326E-02     -1.9998596684537E+00      1.0000000000000E+00      6.9037174042190E+00      0.0000000000000E+00     -3.3235544044316E-01      1.6578950903376E-02      6.5146497692885E+00      7.1441128927250E-01      0.0000000000000E+00      0.0000000000000E+00      7.1441128927250E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413201805946E-02     -1.9997289742069E+00      1.0000000000000E+00      6.8744141659179E+00      0.0000000000000E+00     -5.1705160938107E-01      1.8474338763579E-02      6.4889240295630E+00      7.1159014622788E-01      0.0000000000000E+00      0.0000000000000E+00      7.1159014622788E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782723237637E-01     -1.9995100390143E+00      1.0000000000000E+00      6.8419572222045E+00      0.0000000000000E+00     -7.6906940756327E-01      2.0351494681856E-02      6.4597141580692E+00      7.0838692538066E-01      0.0000000000000E+00      0.0000000000000E+00      7.0838692538066E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2910693726998E-01     -1.9991610833419E+00      1.0000000000000E+00      6.8063786041637E+00      0.0000000000000E+00     -1.1026175707716E+00      2.2208566131948E-02      6.4270731531519E+00      7.0480743864968E-01      0.0000000000000E+00      0.0000000000000E+00      7.0480743864968E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5222961353716E-01     -1.9986274326216E+00      1.0000000000000E+00      6.7677134235960E+00      0.0000000000000E+00     -1.5330453122657E+00      2.4043720408540E-02      6.3910821455879E+00      7.0086058302020E-01      0.0000000000000E+00      0.0000000000000E+00      7.0086058302020E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7716939711000E-01     -1.9978393811171E+00      1.0000000000000E+00      6.7259998383665E+00      0.0000000000000E+00     -2.0767652995402E+00      2.5855146435923E-02      6.3518505405319E+00      6.9655835610995E-01      0.0000000000000E+00      0.0000000000000E+00      6.9655835610995E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0389648587981E-01     -1.9967100267475E+00      1.0000000000000E+00      6.6812790147477E+00      0.0000000000000E+00     -2.7511710072890E+00      2.7641056555303E-02      6.3095175228742E+00      6.9191602125011E-01      0.0000000000000E+00      0.0000000000000E+00      6.9191602125011E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3237601837495E-01     -1.9951331275656E+00      1.0000000000000E+00      6.6335950867932E+00      0.0000000000000E+00     -3.5745487903881E+00      2.9399688289009E-02      6.2642551793618E+00      6.8695244986418E-01      0.0000000000000E+00      0.0000000000000E+00      6.8695244986418E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6256651010915E-01     -1.9929810424144E+00      1.0000000000000E+00      6.5829951127832E+00      0.0000000000000E+00     -4.5659850429331E+00      3.1129306079840E-02      6.2162737077584E+00      6.8169069271631E-01      0.0000000000000E+00      0.0000000000000E+00      6.8169069271631E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9441773802727E-01     -1.9901028346617E+00      1.0000000000000E+00      6.5295290287828E+00      0.0000000000000E+00     -5.7452688301342E+00      3.2828203003857E-02      6.1658295249955E+00      6.7615886906958E-01      0.0000000000000E+00      0.0000000000000E+00      6.7615886906958E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2786795507967E-01     -1.9863226401869E+00      1.0000000000000E+00      6.4732495993620E+00      0.0000000000000E+00     -7.1327903990913E+00      3.4494702454906E-02      6.1132376771962E+00      6.7039152759734E-01      0.0000000000000E+00      0.0000000000000E+00      6.7039152759734E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6284031380095E-01     -1.9814384303124E+00      1.0000000000000E+00      6.4142123655228E+00      0.0000000000000E+00     -8.7494359920621E+00      3.6127159799229E-02      6.0588910502053E+00      6.6443175305364E-01      0.0000000000000E+00      0.0000000000000E+00      6.6443175305364E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.9923838244730E-01     -1.9752213383496E+00      1.0000000000000E+00      6.3524755898875E+00      0.0000000000000E+00     -1.0616479401741E+01      3.7723963998514E-02      6.0032910571018E+00      6.5833453153547E-01      0.0000000000000E+00      0.0000000000000E+00      6.5833453153547E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3694065309124E-01     -1.9674157656457E+00      1.0000000000000E+00      6.2881001992000E+00      0.0000000000000E+00     -1.2755470722204E+01      3.9283539199802E-02      5.9470991762896E+00      6.5217240226692E-01      0.0000000000000E+00      0.0000000000000E+00      6.5217240226692E-01      0.0000000000000E+00
