WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -8.0000000000002E+00      1.0000000000000E+00      6.9252015166134E+00      0.0000000000000E+00      3.5901775200036E-08      9.8687926853680E-04      5.8039770994456E+00      6.3647731027234E-01      0.0000000000000E+00      0.0000000000000E+00      6.3647731027234E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -8.0000000000632E+00      1.0000000000000E+00      6.9249076931517E+00      0.0000000000000E+00      2.9070872216000E-06      2.9596638749201E-03      5.8039785139101E+00      6.3647746538572E-01      0.0000000000000E+00      0.0000000000000E+00      6.3647746538572E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337439E-03     -8.0000000010189E+00      1.0000000000000E+00      6.9243203361966E+00      0.0000000000000E+00      2.2416473227901E-05      4.9295276503831E-03      5.8039805705074E+00      6.3647769091685E-01      0.0000000000000E+00      0.0000000000000E+00      6.3647769091685E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089637E-02     -8.0000000068873E+00      1.0000000000000E+00      6.9234400253985E+00      0.0000000000000E+00      8.6030160337904E-05      6.8945265772042E-03      5.8039702267429E+00      6.3647655659614E-01      0.0000000000000E+00      0.0000000000000E+00      6.3647655659614E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566842E-02     -8.0000000295683E+00      1.0000000000000E+00      6.9222676295179E+00      0.0000000000000E+00      2.3477775666500E-04      8.8527214386802E-03      5.8039288981662E+00      6.3647202441056E-01      0.0000000000000E+00      0.0000000000000E+00      6.3647202441056E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347690155E-02     -8.0000000957943E+00      1.0000000000000E+00      6.9208043055679E+00      0.0000000000000E+00      5.2304971374410E-04      1.0802179732898E-02      5.8038339692445E+00      6.3646161428942E-01      0.0000000000000E+00      0.0000000000000E+00      6.3646161428942E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378754968E-02     -8.0000002562491E+00      1.0000000000000E+00      6.9190514976727E+00      0.0000000000000E+00      1.0183284161222E-03      1.2740977579883E-02      5.8036597196495E+00      6.3644250568309E-01      0.0000000000000E+00      0.0000000000000E+00      6.3644250568309E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159198598E-02     -8.0000005967275E+00      1.0000000000000E+00      6.9170109356419E+00      0.0000000000000E+00      1.8008541394999E-03      1.4667201620233E-02      5.8033779856518E+00      6.3641161009304E-01      0.0000000000000E+00      0.0000000000000E+00      6.3641161009304E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163063846E-02     -8.0000012511768E+00      1.0000000000000E+00      6.9146846332640E+00      0.0000000000000E+00      2.9632272625642E-03      1.6578950903376E-02      5.8029586598719E+00      6.3636562587568E-01      0.0000000000000E+00      0.0000000000000E+00      6.3636562587568E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970342242E-02     -8.0000024164378E+00      1.0000000000000E+00      6.9120748863186E+00      0.0000000000000E+00      4.6099483824538E-03      1.8474338763579E-02      5.8023700789070E+00      6.3630108075033E-01      0.0000000000000E+00      0.0000000000000E+00      6.3630108075033E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782928218195E-01     -8.0000043684746E+00      1.0000000000000E+00      6.9091842703108E+00      0.0000000000000E+00      6.8568982420052E-03      2.0351494681856E-02      5.8015793255127E+00      6.3621436493721E-01      0.0000000000000E+00      0.0000000000000E+00      6.3621436493721E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911193794271E-01     -8.0000074798594E+00      1.0000000000000E+00      6.9060156379296E+00      0.0000000000000E+00      9.8307596275120E-03      2.2208566131948E-02      5.8005524612612E+00      6.3610175667126E-01      0.0000000000000E+00      0.0000000000000E+00      6.3610175667126E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5224093407743E-01     -8.0000122382585E+00      1.0000000000000E+00      6.9025721162327E+00      0.0000000000000E+00      1.3668383637695E-02      2.4043720408540E-02      5.7992546994843E+00      6.3595944116743E-01      0.0000000000000E+00      0.0000000000000E+00      6.3595944116743E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7719344481723E-01     -8.0000192656454E+00      1.0000000000000E+00      6.8988571035601E+00      0.0000000000000E+00      1.8516102956940E-02      2.5855146435923E-02      5.7976505246878E+00      6.3578352371596E-01      0.0000000000000E+00      0.0000000000000E+00      6.3578352371596E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0394484463388E-01     -8.0000293379533E+00      1.0000000000000E+00      6.8948742661810E+00      0.0000000000000E+00      2.4528994987730E-02      2.7641056555303E-02      5.7957037619122E+00      6.3557003728865E-01      0.0000000000000E+00      0.0000000000000E+00      6.3557003728865E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3246873245057E-01     -8.0000434048647E+00      1.0000000000000E+00      6.8906275346749E+00      0.0000000000000E+00      3.1870097907591E-02      2.9399688289009E-02      5.7933775975532E+00      6.3531494482204E-01      0.0000000000000E+00      0.0000000000000E+00      6.3531494482204E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6273695756909E-01     -8.0000626094282E+00      1.0000000000000E+00      6.8861211000531E+00      0.0000000000000E+00      4.0709582914120E-02      3.1129306079840E-02      5.7906345513152E+00      6.3501413614178E-01      0.0000000000000E+00      0.0000000000000E+00      6.3501413614178E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9471964727874E-01     -8.0000883071867E+00      1.0000000000000E+00      6.8813594096225E+00      0.0000000000000E+00      5.1223886106734E-02      3.2828203003857E-02      5.7874363970934E+00      6.3466341928642E-01      0.0000000000000E+00      0.0000000000000E+00      6.3466341928642E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2838523610954E-01     -8.0001220844952E+00      1.0000000000000E+00      6.8763471625967E+00      0.0000000000000E+00      6.3594803625182E-02      3.4494702454906E-02      5.7837440285366E+00      6.3425850576465E-01      0.0000000000000E+00      0.0000000000000E+00      6.3425850576465E-01      0.0000000000000E+00
