span,dihedral
0.0,0.0
0.0000616837591697,-0.0000020235406990
0.0005550625190150,-0.0001638528812087
0.0015413331334360,-0.0012634652643667
0.0030195222724101,-0.0048489393567786
0.0049881711417212,-0.0132328371808001
0.0074453369226131,-0.0294807813046589
0.0103885946891171,-0.0573962981780873
0.0138150398011617,-0.1015019904478216
0.0177212907711010,-0.1670171163240594
0.0221034926008349,-0.2598316689938765
0.0269573205862274,-0.3864770636310324
0.0322779845850664,-0.5540935536754139
0.0380602337443566,-0.7703945116930646
0.0442983616822774,-1.0436277232248283
0.0509862121196922,-1.3825338545356454
0.0581171849556533,-1.7963022670374742
0.0656842427809044,-2.2945243623291738
0.0736799178229539,-2.8871446522315400
0.0820963193158649,-3.5844097578535652
0.0909251412874883,-4.3968155505674078
0.1001576707564547,-5.3350526557599913
0.1097847963308352,-6.4099505473352467
0.1197970171999845,-7.6324204671349314
0.1301844525106952,-9.0133974087026019
0.1409368511184056,-10.5637814091124369
0.1520436017038429,-12.2943783959060919
0.1634937432451133,-14.2158408385114452
0.1752759758349082,-16.3386084548485719
0.1873786718321474,-18.6728492241530937
0.1997898873370580,-21.2284009563658564
0.2124973739783608,-24.0147136667494152
0.2254885910009342,-27.0407930017062164
0.2387507176420255,-30.3151449580970436
0.2522706657837963,-33.8396837317763470
0.2660350928697133,-37.3387386061662880
0.2800304150720424,-40.6481048392660256
0.2942428206974457,-43.7524953780272341
0.3086582838174551,-46.6373975793212594
0.3232625781103715,-49.2891327160771766
0.3380412909009253,-51.6949122242139936
0.3529798373838480,-53.8428904661531220
0.3680634750173136,-55.7222138004147212
0.3832773180720472,-57.3230657613524670
0.3986063523217439,-58.6367081684089442
0.4140354498602952,-59.6555180003145722
0.4295493840312087,-60.3730198863475778
0.4451328444544774,-60.7839140840518155
0.4607704521360775,-60.8840998306058623
0.4764467746451788,-60.6706939732835053
0.4921463413440897,-60.1420448030643797
0.5078536586559104,-59.3197664940065508
0.5235532253548214,-58.3367146324071442
0.5392295478639224,-57.2162967121503314
0.5548671555455227,-55.9604405864536645
0.5704506159687913,-54.5716147803441700
0.5859645501397049,-53.0528212036415781
0.6013936476782563,-51.4075857504149738
0.6167226819279527,-49.6399468195964246
0.6319365249826865,-47.7544417996534847
0.6470201626161520,-45.7560915682672302
0.6619587090990748,-43.6503830658144167
0.6767374218896286,-41.4432500090707023
0.6913417161825448,-39.1410518189117838
0.7057571793025544,-36.7505508428611094
0.7199695849279576,-34.2788879600863012
0.7339649071302866,-31.7335566628571470
0.7477293342162038,-29.1223757145204090
0.7612492823579746,-26.5386233119720600
0.7745114089990659,-24.1395240363297034
0.7875026260216393,-21.9226983392670718
0.8002101126629420,-19.8818903984592907
0.8126213281678526,-18.0104774333681803
0.8247240241650919,-16.3015103266772599
0.8365062567548867,-14.7477551959299831
0.8479563982961571,-13.3417357373472214
0.8590631488815943,-12.0757761610972238
0.8698155474893048,-10.9420445353201217
0.8802029828000155,-9.9325963549670746
0.8902152036691648,-9.0394181510138765
0.8998423292435452,-8.2544709558483191
0.9090748587125117,-7.5697334416093440
0.9179036806841352,-6.9772445499685318
0.9263200821770462,-6.4691454342824386
0.9343157572190957,-6.0377205382059742
0.9418828150443468,-5.6754376387158345
0.9490137878803079,-5.3749866860458155
0.9557016383177226,-5.1293172782551437
0.9619397662556435,-4.9316746140247574
0.9677220154149337,-4.7756337737689591
0.9730426794137726,-4.6551321862491477
0.9778965073991651,-4.5645001455400802
0.9822787092288990,-4.4984892514092962
0.9861849601988384,-4.4522986548826680
0.9896114053108829,-4.4215989999570411
0.9925546630773869,-4.4025539620437257
0.9950118288582788,-4.3918392937453063
0.9969804777275899,-4.3866592989490414
0.9984586668665640,-4.3847606669073684
0.9994449374809851,-4.3844436089461283
0.9999383162408303,-4.3845702516359779
1.0000000000000000,-4.3845994631432177
