WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999916E+00      1.0000000000000E+00      9.5483077347257E+00      0.0000000000000E+00     -1.9471717231019E-06      9.8687926853680E-04      8.9532147446176E+00      9.8182986274862E-01      0.0000000000000E+00      0.0000000000000E+00      9.8182986274862E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760553E-03     -1.9999999965724E+00      1.0000000000000E+00      9.5451389465251E+00      0.0000000000000E+00     -1.5766902893850E-04      2.9596638749201E-03      8.9525872409326E+00      9.8176104926938E-01      0.0000000000000E+00      0.0000000000000E+00      9.8176104926938E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325332333E-03     -1.9999999447406E+00      1.0000000000000E+00      9.5388044973353E+00      0.0000000000000E+00     -1.2157817418940E-03      4.9295276503831E-03      8.9499589572613E+00      9.8147282571284E-01      0.0000000000000E+00      0.0000000000000E+00      9.8147282571284E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077902E-02     -1.9999996264608E+00      1.0000000000000E+00      9.5293106384928E+00      0.0000000000000E+00     -4.6659390675673E-03      6.8945265772042E-03      8.9448729985235E+00      9.8091508792680E-01      0.0000000000000E+00      0.0000000000000E+00      9.8091508792680E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684439624E-02     -1.9999983963297E+00      1.0000000000000E+00      9.5166667392901E+00      0.0000000000000E+00     -1.2733426309062E-02      8.8527214386802E-03      8.9370326054081E+00      9.8005529261128E-01      0.0000000000000E+00      0.0000000000000E+00      9.8005529261128E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346815624E-02     -1.9999948044944E+00      1.0000000000000E+00      9.5008852777293E+00      0.0000000000000E+00     -2.8368168605679E-02      1.0802179732898E-02      8.9262269340166E+00      9.7887031814547E-01      0.0000000000000E+00      0.0000000000000E+00      9.7887031814547E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374342368E-02     -1.9999861020539E+00      1.0000000000000E+00      9.4819818282075E+00      0.0000000000000E+00     -5.5230146285184E-02      1.2740977579883E-02      8.9123025922544E+00      9.7734334320394E-01      0.0000000000000E+00      0.0000000000000E+00      9.7734334320394E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260141411631E-02     -1.9999676358455E+00      1.0000000000000E+00      9.4599750461472E+00      0.0000000000000E+00     -9.7671277741232E-02      1.4667201620233E-02      8.8951487523482E+00      9.7546221416133E-01      0.0000000000000E+00      0.0000000000000E+00      9.7546221416133E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885102612948E-02     -1.9999321411134E+00      1.0000000000000E+00      9.4348866495854E+00      0.0000000000000E+00     -1.6071384496063E-01      1.6578950903376E-02      8.8746883007434E+00      9.7321847457015E-01      0.0000000000000E+00      0.0000000000000E+00      9.7321847457015E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413790681289E-02     -1.9998689420732E+00      1.0000000000000E+00      9.4067413977406E+00      0.0000000000000E+00     -2.5002555118675E-01      1.8474338763579E-02      8.8508720487886E+00      9.7060673029115E-01      0.0000000000000E+00      0.0000000000000E+00      9.7060673029115E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782880299644E-01     -1.9997630718252E+00      1.0000000000000E+00      9.3755670665782E+00      0.0000000000000E+00     -3.7189131420952E-01      2.0351494681856E-02      8.8236746904289E+00      9.6762420620487E-01      0.0000000000000E+00      0.0000000000000E+00      9.6762420620487E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911076892079E-01     -1.9995943244302E+00      1.0000000000000E+00      9.3413944213994E+00      0.0000000000000E+00     -5.3318191236336E-01      2.2208566131948E-02      8.7930918686910E+00      9.6427042451573E-01      0.0000000000000E+00      0.0000000000000E+00      9.6427042451573E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223828760650E-01     -1.9993362532727E+00      1.0000000000000E+00      9.3042571864793E+00      0.0000000000000E+00     -7.4131961343729E-01      2.4043720408540E-02      8.7591380197116E+00      9.6054696832327E-01      0.0000000000000E+00      0.0000000000000E+00      9.6054696832327E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718782291233E-01     -1.9989551311352E+00      1.0000000000000E+00      9.2641920117852E+00      0.0000000000000E+00     -1.0042409293042E+00      2.5855146435923E-02      8.7218448162798E+00      9.5645731093749E-01      0.0000000000000E+00      0.0000000000000E+00      9.5645731093749E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393353883881E-01     -1.9984088887504E+00      1.0000000000000E+00      9.2212384368073E+00      0.0000000000000E+00     -1.3303566511085E+00      2.7641056555303E-02      8.6812601163840E+00      9.5200670057406E-01      0.0000000000000E+00      0.0000000000000E+00      9.5200670057406E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244705554011E-01     -1.9976460500847E+00      1.0000000000000E+00      9.1754388515382E+00      0.0000000000000E+00     -1.7285093312649E+00      2.9399688289009E-02      8.6374473727229E+00      9.4720209560004E-01      0.0000000000000E+00      0.0000000000000E+00      9.4720209560004E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269710265905E-01     -1.9966046843298E+00      1.0000000000000E+00      9.1268384546393E+00      0.0000000000000E+00     -2.2079283892692E+00      3.1129306079840E-02      8.5904854944793E+00      9.4205214937563E-01      0.0000000000000E+00      0.0000000000000E+00      9.4205214937563E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9464904364368E-01     -1.9952113966931E+00      1.0000000000000E+00      9.0754852088346E+00      0.0000000000000E+00     -2.7781830283632E+00      3.2828203003857E-02      8.5404691828792E+00      9.3656724705236E-01      0.0000000000000E+00      0.0000000000000E+00      9.3656724705236E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2826424206017E-01     -1.9933803827262E+00      1.0000000000000E+00      9.0214297935777E+00      0.0000000000000E+00     -3.4491331593903E+00      3.4494702454906E-02      8.4875097942130E+00      9.3075960021393E-01      0.0000000000000E+00      0.0000000000000E+00      9.3075960021393E-01      0.0000000000000E+00
