WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999912E+00      1.1927235245228E+00      6.4384218536523E+00      0.0000000000000E+00     -2.0504766953020E-06      1.1770741188239E-03      5.9819293036370E+00      6.5599195313534E-01      0.0000000000000E+00      0.0000000000000E+00      7.8241703440221E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760548E-03     -1.9999999963906E+00      1.1925333347270E+00      6.4374005524471E+00      0.0000000000000E+00     -1.6603397922240E-04      3.5294978135990E-03      5.9825419206841E+00      6.5605913411205E-01      0.0000000000000E+00      0.0000000000000E+00      7.8237238698078E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331777E-03     -1.9999999418088E+00      1.1921531428197E+00      6.4353589579377E+00      0.0000000000000E+00     -1.2802836538765E-03      5.8767518032303E-03      5.9830149451881E+00      6.5611100705347E-01      0.0000000000000E+00      0.0000000000000E+00      7.8218479909737E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089076623E-02     -1.9999996066431E+00      1.1915833239840E+00      6.4322990849313E+00      0.0000000000000E+00     -4.9134851366365E-03      8.2154026832339E-03      5.9830920922038E+00      6.5611946717041E-01      0.0000000000000E+00      0.0000000000000E+00      7.8182101562155E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684425763E-02     -1.9999983112488E+00      1.1908244405321E+00      6.4282239531533E+00      0.0000000000000E+00     -1.3408983701249E-02      1.0542036603353E-02      5.9826013000333E+00      6.5606564578635E-01      0.0000000000000E+00      0.0000000000000E+00      7.8125900559589E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346720336E-02     -1.9999945288528E+00      1.1898772413500E+00      6.4231375842666E+00      0.0000000000000E+00     -2.9873209396683E-02      1.2853267001033E-02      5.9814146894562E+00      6.5593551937553E-01      0.0000000000000E+00      0.0000000000000E+00      7.8048274629805E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554373861574E-02     -1.9999853647144E+00      1.1887426611586E+00      6.4170449979033E+00      0.0000000000000E+00     -5.8160318627564E-02      1.5145742247086E-02      5.9794334190095E+00      6.5571824875863E-01      0.0000000000000E+00      0.0000000000000E+00      7.7948025599958E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260139473573E-02     -1.9999659188032E+00      1.1874218195912E+00      6.4099522067106E+00      0.0000000000000E+00     -1.0285311584835E-01      1.7416153178995E-02      5.9765799018611E+00      6.5540532558745E-01      0.0000000000000E+00      0.0000000000000E+00      7.7824258427884E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885096026253E-02     -1.9999285409427E+00      1.1859160200891E+00      6.4018662104171E+00      0.0000000000000E+00     -1.6924033448158E-01      1.9661240497771E-02      5.9727932785221E+00      6.5499007587220E-01      0.0000000000000E+00      0.0000000000000E+00      7.7676322397625E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413771105549E-02     -1.9998619889675E+00      1.1842267486149E+00      6.3927949889247E+00      0.0000000000000E+00     -2.6329037129410E-01      2.1877802004742E-02      5.9680265240057E+00      6.5446734274605E-01      0.0000000000000E+00      0.0000000000000E+00      7.7503773337480E-01      0.0000000000000E+00
