WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999919E+00      1.0000000000000E+00      1.3367740890614E+01      0.0000000000000E+00     -1.8709346599019E-06      9.8687926853680E-04      1.2414431120340E+01      1.3613947113592E+00      0.0000000000000E+00      0.0000000000000E+00      1.3613947113592E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760557E-03     -1.9999999967066E+00      1.0000000000000E+00      1.3361674996657E+01      0.0000000000000E+00     -1.5149585808950E-04      2.9596638749201E-03      1.2413189008546E+01      1.3612584985589E+00      0.0000000000000E+00      0.0000000000000E+00      1.3612584985589E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325332726E-03     -1.9999999469041E+00      1.0000000000000E+00      1.3349549195048E+01      0.0000000000000E+00     -1.1681805835791E-03      4.9295276503831E-03      1.2408014544731E+01      1.3606910551051E+00      0.0000000000000E+00      0.0000000000000E+00      1.3606910551051E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089078803E-02     -1.9999996410859E+00      1.0000000000000E+00      1.3331375452488E+01      0.0000000000000E+00     -4.4832548763267E-03      6.8945265772042E-03      1.2398019133185E+01      1.3595949355741E+00      0.0000000000000E+00      0.0000000000000E+00      1.3595949355741E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684449394E-02     -1.9999984591178E+00      1.0000000000000E+00      1.3307171704268E+01      0.0000000000000E+00     -1.2234878074011E-02      8.8527214386802E-03      1.2382629909264E+01      1.3579073183281E+00      0.0000000000000E+00      0.0000000000000E+00      1.3579073183281E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346882787E-02     -1.9999950079126E+00      1.0000000000000E+00      1.3276961836566E+01      0.0000000000000E+00     -2.7257477732168E-02      1.0802179732898E-02      1.2361443624228E+01      1.3555839821944E+00      0.0000000000000E+00      0.0000000000000E+00      1.3555839821944E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374681250E-02     -1.9999866461961E+00      1.0000000000000E+00      1.3240775662872E+01      0.0000000000000E+00     -5.3067736005045E-02      1.2740977579883E-02      1.2334170578277E+01      1.3525931580350E+00      0.0000000000000E+00      0.0000000000000E+00      1.3525931580350E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260142777645E-02     -1.9999689029895E+00      1.0000000000000E+00      1.3198648894573E+01      0.0000000000000E+00     -9.3847181857593E-02      1.4667201620233E-02      1.2300605313276E+01      1.3489123148442E+00      0.0000000000000E+00      0.0000000000000E+00      1.3489123148442E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885107255491E-02     -1.9999347979699E+00      1.0000000000000E+00      1.3150623105701E+01      0.0000000000000E+00     -1.5442146129196E-01      1.6578950903376E-02      1.2260609222023E+01      1.3445262526412E+00      0.0000000000000E+00      0.0000000000000E+00      1.3445262526412E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413804478987E-02     -1.9998740733324E+00      1.0000000000000E+00      1.3096745691913E+01      0.0000000000000E+00     -2.4023637157111E-01      1.8474338763579E-02      1.2214099211940E+01      1.3394258593056E+00      0.0000000000000E+00      0.0000000000000E+00      1.3394258593056E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782883979714E-01     -1.9997723481491E+00      1.0000000000000E+00      1.3037069823711E+01      0.0000000000000E+00     -3.5733075887822E-01      2.0351494681856E-02      1.2161039836732E+01      1.3336072477159E+00      0.0000000000000E+00      0.0000000000000E+00      1.3336072477159E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911085869968E-01     -1.9996102075303E+00      1.0000000000000E+00      1.2971654393973E+01      0.0000000000000E+00     -5.1230639190891E-01      2.2208566131948E-02      1.2101437640697E+01      1.3270711355348E+00      0.0000000000000E+00      0.0000000000000E+00      1.3270711355348E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223849085018E-01     -1.9993622401335E+00      1.0000000000000E+00      1.2900563959830E+01      0.0000000000000E+00     -7.1229493650291E-01      2.4043720408540E-02      1.2035337065483E+01      1.3198223963343E+00      0.0000000000000E+00      0.0000000000000E+00      1.3198223963343E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718825466064E-01     -1.9989960387960E+00      1.0000000000000E+00      1.2823868678957E+01      0.0000000000000E+00     -9.6492216853081E-01      2.5855146435923E-02      1.1962817570509E+01      1.3118697438148E+00      0.0000000000000E+00      0.0000000000000E+00      1.3118697438148E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393440708664E-01     -1.9984711803212E+00      1.0000000000000E+00      1.2741644240337E+01      0.0000000000000E+00     -1.2782695738128E+00      2.7641056555303E-02      1.1883991782353E+01      1.3032255288624E+00      0.0000000000000E+00      0.0000000000000E+00      1.3032255288624E+00      0.0000000000000E+00
