span,dihedral
0.0,0.0
0.0000616837591697,-0.0000020302631172
0.0005550625190150,-0.0001643972179633
0.0015413331334360,-0.0012676626307874
0.0030195222724101,-0.0048650480507065
0.0049881711417212,-0.0132767980778661
0.0074453369226131,-0.0295787196057694
0.0103885946891171,-0.0575869748048530
0.0138150398011617,-0.1018391908904101
0.0177212907711010,-0.1675719650053105
0.0221034926008349,-0.2606948575224630
0.0269573205862274,-0.3877609816737401
0.0322779845850664,-0.5559343115828252
0.0380602337443566,-0.7729538444624474
0.0442983616822774,-1.0470947658770606
0.0509862121196922,-1.3871267795175719
0.0581171849556533,-1.8022697748350598
0.0656842427809044,-2.3021470170879028
0.0736799178229539,-2.8967360548262513
0.0820963193158649,-3.5963175495277415
0.0909251412874883,-4.4114222409691459
0.1001576707564547,-5.3527762699356192
0.1097847963308352,-6.4312450869989126
0.1197970171999845,-7.6577761823104158
0.1301844525106952,-9.0433408766290100
0.1409368511184056,-10.5988754181150728
0.1520436017038429,-12.3352216327545516
0.1634937432451133,-14.2630673786153910
0.1752759758349082,-16.3928870554745174
0.1873786718321474,-18.7348824216795045
0.1997898873370580,-21.2989239694255232
0.2124973739783608,-24.0944931079341451
0.2254885910009342,-27.1306254013260819
0.2387507176420255,-30.4158551042912784
0.2522706657837963,-33.9522837915853160
0.2660350928697133,-37.4718092751812435
0.2800304150720424,-40.8148044596803743
0.2942428206974457,-43.9665693118473939
0.3086582838174551,-46.9131351256593945
0.3232625781103715,-49.6413211604605067
0.3380412909009253,-52.1387881909518001
0.3529798373838480,-54.3940887561677613
0.3680634750173136,-56.3967139075979560
0.3832773180720472,-58.1371362704110766
0.3986063523217439,-59.6068492462720485
0.4140354498602952,-60.7984022014545928
0.4295493840312087,-61.7054314997828612
0.4451328444544774,-62.3226872563223253
0.4607704521360775,-62.6460557046166002
0.4764467746451788,-62.6725770875713408
0.4921463413440897,-62.4004589997427956
0.5078536586559104,-61.8419978264612027
0.5235532253548214,-61.0751571960236888
0.5392295478639224,-60.1141859376188350
0.5548671555455227,-58.9611888281160290
0.5704506159687913,-57.6190326507901389
0.5859645501397049,-56.0913365429176523
0.6013936476782563,-54.3824593684220261
0.6167226819279527,-52.4974841637688669
0.6319365249826865,-50.4421997168690623
0.6470201626161520,-48.2230793500720054
0.6619587090990748,-45.8472569893747632
0.6767374218896286,-43.3225006126967074
0.6913417161825448,-40.6571831804247452
0.7057571793025544,-37.8602511613871187
0.7199695849279576,-34.9411907769196901
0.7339649071302866,-31.9099920947123863
0.7477293342162038,-28.7771111126294912
0.7612492823579746,-25.6750384646092584
0.7745114089990659,-22.8275809670357717
0.7875026260216393,-20.2306432317455460
0.8002101126629420,-17.8746008698212222
0.8126213281678526,-15.7493128249447523
0.8247240241650919,-13.8441805797353936
0.8365062567548867,-12.1482087202028310
0.8479563982961571,-10.6500666008051326
0.8590631488815943,-9.3381508487152587
0.8698155474893048,-8.2006484430676210
0.8802029828000155,-7.2256001031780670
0.8902152036691648,-6.4009637190291642
0.8998423292435452,-5.7146775576655955
0.9090748587125117,-5.1547229805798906
0.9179036806841352,-4.7091864096551035
0.9263200821770462,-4.3663202827665373
0.9343157572190957,-4.1146027447272218
0.9418828150443468,-3.9427958248479626
0.9490137878803079,-3.8400018589748015
0.9557016383177226,-3.7957179214147345
0.9619397662556435,-3.7998880406644275
0.9677220154149337,-3.8429529822396944
0.9730426794137726,-3.9158973921757934
0.9778965073991651,-4.0102941058494253
0.9822787092288990,-4.1183454386400626
0.9861849601988384,-4.2329212875498570
0.9896114053108829,-4.3475938861778332
0.9925546630773869,-4.4566690693634428
0.9950118288582788,-4.5552139182841529
0.9969804777275899,-4.6390806718073918
0.9984586668665640,-4.7049268053381184
0.9994449374809851,-4.7502311942646429
0.9999383162408303,-4.7733062952760292
1.0000000000000000,-4.7762105266007211
